一级,二级,描述,图标,数量,起始,终止
国学经典,论语,《论语》由孔子弟子及再传弟子编写而成，至汉代成书。主要记录孔子及其弟子的言行，较为集中地反映了孔子的思想，是儒家学派的经典著作之一。以语录体为主，叙事体为辅，集中体现了孔子的政治主张、伦理思想、道德观念及教育原则等。与《大学》、《中庸》、《孟子》并称“四书”，与《诗》、《书》、《礼》、《易》、《春秋》等“五经”，总称“四书五经”。全书共20篇、492章，首创 “语录体” 。是中国现传扬并学习的古代著作之一。,catalog_308.png,20,530,549
国学经典,论语译文,《论语》由孔子弟子及再传弟子编写而成，至汉代成书。主要记录孔子及其弟子的言行，较为集中地反映了孔子的思想，是儒家学派的经典著作之一。以语录体为主，叙事体为辅，集中体现了孔子的政治主张、伦理思想、道德观念及教育原则等。与《大学》、《中庸》、《孟子》并称“四书”，与《诗》、《书》、《礼》、《易》、《春秋》等“五经”，总称“四书五经”。全书共20篇、492章，首创 “语录体” 。是中国现传扬并学习的古代著作之一。,catalog_301.png,20,4917,4936
国学经典,大学,《大学》是一篇论述儒家修身治国平天下思想的散文，原是《小戴礼记》第四十二篇，相传为曾子所作，实为秦汉时儒家作品，是一部中国古代讨论教育理论的重要著作。经北宋程颢、程颐竭力尊崇，南宋朱熹又作《大学章句》，最终和《中庸》、《论语》、《孟子》并称“四书”。宋、元以后，《大学》成为学校官定的教科书和科举考试的必读书，对中国古代教育产生了极大的影响。,catalog_309.png,12,550,561
国学经典,大学译文,《大学》是一篇论述儒家修身治国平天下思想的散文，原是《小戴礼记》第四十二篇，相传为曾子所作，实为秦汉时儒家作品，是一部中国古代讨论教育理论的重要著作。经北宋程颢、程颐竭力尊崇，南宋朱熹又作《大学章句》，最终和《中庸》、《论语》、《孟子》并称“四书”。宋、元以后，《大学》成为学校官定的教科书和科举考试的必读书，对中国古代教育产生了极大的影响。,catalog_319.png,12,4937,4948
国学经典,中庸,《中庸》是一篇论述儒家人性修养的散文，原是《礼记》第三十一篇，相传为子思所作，是一部儒家学说经典论著。经北宋程颢、程颐极力尊崇，南宋朱熹作《中庸集注》，最终和《大学》、《论语》、《孟子》并称为“四书”。宋、元以后，《中庸》成为学校官定的教科书和科举考试的必读书，对古代教育产生了极大的影响。,catalog_310.png,24,562,585
国学经典,中庸译文,《中庸》是一篇论述儒家人性修养的散文，原是《礼记》第三十一篇，相传为子思所作，是一部儒家学说经典论著。经北宋程颢、程颐极力尊崇，南宋朱熹作《中庸集注》，最终和《大学》、《论语》、《孟子》并称为“四书”。宋、元以后，《中庸》成为学校官定的教科书和科举考试的必读书，对古代教育产生了极大的影响。,catalog_303.png,23,4949,4972
国学经典,老子,"《道德经》是春秋时期老子（李耳）的哲学作品，又称《道德真经》、《老子》、《五千言》、《老子五千文》，是中国古代先秦诸子分家前的一部著作，为其时诸子所共仰，是道家哲学思想的重要来源。道德经分上下两篇，原文上篇《德经》、下篇《道经》，不分章，后改为《道经》37章在前，第38章之后为《德经》，并分为81章。[1] 
《道德经》，文本以哲学意义之“道德”为纲宗，论述修身、治国、用兵、养生之道，而多以政治为旨归，乃所谓“内圣外王”之学，文意深奥，包涵广博  ，被誉为万经之王。
《道德经》是中国历史上最伟大的名著之一，对传统哲学、科学、政治、宗教等产生了深刻影响。据联合国教科文组织统计，《道德经》是除了《圣经》以外被译成外国文字发布量最多的文化名著。",catalog_311.png,81,586,666
国学经典,老子译文,"《道德经》是春秋时期老子（李耳）的哲学作品，又称《道德真经》、《老子》、《五千言》、《老子五千文》，是中国古代先秦诸子分家前的一部著作，为其时诸子所共仰，是道家哲学思想的重要来源。道德经分上下两篇，原文上篇《德经》、下篇《道经》，不分章，后改为《道经》37章在前，第38章之后为《德经》，并分为81章。[1] 
《道德经》，文本以哲学意义之“道德”为纲宗，论述修身、治国、用兵、养生之道，而多以政治为旨归，乃所谓“内圣外王”之学，文意深奥，包涵广博  ，被誉为万经之王。
《道德经》是中国历史上最伟大的名著之一，对传统哲学、科学、政治、宗教等产生了深刻影响。据联合国教科文组织统计，《道德经》是除了《圣经》以外被译成外国文字发布量最多的文化名著。",catalog_319.png,81,4973,5053
国学经典,庄子,"庄子，姓庄， 名周，字子休（亦说子沐），宋国蒙人，  先祖是宋国君主宋戴公。 他是东周战国中期著名的思想家、哲学家和文学家。创立了华夏重要的哲学学派庄学，是继老子之后，战国时期道家学派的代表人物，是道家学派的主要代表人物之一。
庄周因崇尚自由而不应楚威王之聘，生平只做过宋国地方的漆园吏。史称“漆园傲吏”，被誉为地方官吏之楷模。庄子最早提出“内圣外王”思想对儒家影响深远，庄子洞悉易理，深刻指出“《易》以道阴阳”；庄子“三籁”思想与《易经》三才之道相合。他的代表作品为《庄子》，其中的名篇有《逍遥游》、《齐物论》等。与老子齐名，被称为老庄。
庄子的想象力极为丰富，语言运用自如，灵活多变，能把一些微妙难言的哲理说得引人入胜。他的作品被人称之为“文学的哲学，哲学的文学”。据传，又尝隐居南华山，故唐玄宗天宝初，诏封庄周为南华真人，称其著书《庄子》为《南华真经》。",catalog_312.png,6,667,672
国学经典,庄子译文,"庄子，姓庄， 名周，字子休（亦说子沐），宋国蒙人，  先祖是宋国君主宋戴公。 他是东周战国中期著名的思想家、哲学家和文学家。创立了华夏重要的哲学学派庄学，是继老子之后，战国时期道家学派的代表人物，是道家学派的主要代表人物之一。
庄周因崇尚自由而不应楚威王之聘，生平只做过宋国地方的漆园吏。史称“漆园傲吏”，被誉为地方官吏之楷模。庄子最早提出“内圣外王”思想对儒家影响深远，庄子洞悉易理，深刻指出“《易》以道阴阳”；庄子“三籁”思想与《易经》三才之道相合。他的代表作品为《庄子》，其中的名篇有《逍遥游》、《齐物论》等。与老子齐名，被称为老庄。
庄子的想象力极为丰富，语言运用自如，灵活多变，能把一些微妙难言的哲理说得引人入胜。他的作品被人称之为“文学的哲学，哲学的文学”。据传，又尝隐居南华山，故唐玄宗天宝初，诏封庄周为南华真人，称其著书《庄子》为《南华真经》。",catalog_306.png,45,5054,5098
